datetime,year,month,day,hour,season,station,latitude,longitude,source,pm25,pm10,o3,no2,temperature,humidity,wind_speed,wind_dir,pm25_exceed,pm25_level,pm25_roll_3,pm25_roll_6,pm25_roll_12,pm10_roll_3,pm10_roll_6,pm10_roll_12,o3_roll_3,o3_roll_6,o3_roll_12,no2_roll_3,no2_roll_6,no2_roll_12,hour_sin,hour_cos,month_sin,month_cos,source_enc
2022-08-01,2022,8,1,0,1,Tokyo,35.6895,139.69171,japan,10.246666666666666,15.933333333333334,29.266666666666666,77.61333333333333,,,,,0.0,0.0,10.246666666666666,10.246666666666666,10.246666666666666,15.933333333333334,15.933333333333334,15.933333333333334,29.266666666666666,29.266666666666666,29.266666666666666,77.61333333333333,77.61333333333333,77.61333333333333,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-02,2022,8,2,0,1,Tokyo,35.6895,139.69171,japan,10.246666666666666,15.933333333333334,29.266666666666666,77.61333333333333,,,,,0.0,0.0,10.246666666666666,10.246666666666666,10.246666666666666,15.933333333333334,15.933333333333334,15.933333333333334,29.266666666666666,29.266666666666666,29.266666666666666,77.61333333333333,77.61333333333333,77.61333333333333,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-03,2022,8,3,0,1,Tokyo,35.6895,139.69171,japan,10.246666666666666,15.933333333333334,29.266666666666666,77.61333333333333,,,,,0.0,0.0,10.246666666666666,10.246666666666666,10.246666666666666,15.933333333333334,15.933333333333334,15.933333333333334,29.266666666666666,29.266666666666666,29.266666666666666,77.61333333333333,77.61333333333333,77.61333333333333,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-04,2022,8,4,0,1,Tokyo,35.6895,139.69171,japan,10.246666666666666,15.933333333333334,29.266666666666666,77.61333333333333,,,,,0.0,0.0,10.246666666666666,10.246666666666666,10.246666666666666,15.933333333333334,15.933333333333334,15.933333333333334,29.266666666666666,29.266666666666666,29.266666666666666,77.61333333333333,77.61333333333333,77.61333333333333,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-05,2022,8,5,0,1,Tokyo,35.6895,139.69171,japan,9.904166666666669,15.15,37.125,56.55,,,,,0.0,0.0,10.1325,10.178166666666666,10.178166666666666,15.672222222222222,15.776666666666667,15.776666666666667,31.88611111111111,30.83833333333333,30.83833333333333,70.59222222222222,73.40066666666667,73.40066666666667,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-06,2022,8,6,0,1,Tokyo,35.6895,139.69171,japan,11.845833333333331,19.979166666666668,31.625,60.0,,,,,0.0,0.0,10.665555555555555,10.456111111111111,10.456111111111111,17.020833333333332,16.477083333333336,16.477083333333336,32.672222222222224,30.969444444444445,30.969444444444445,64.7211111111111,71.16722222222222,71.16722222222222,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-07,2022,8,7,0,1,Tokyo,35.6895,139.69171,japan,10.791666666666666,17.6875,44.708333333333336,51.11666666666667,,,,,0.0,0.0,10.847222222222221,10.546944444444444,10.50404761904762,17.605555555555554,16.769444444444446,16.650000000000002,37.81944444444445,33.54305555555556,32.93214285714286,55.888888888888886,66.75111111111111,68.30285714285715,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-08,2022,8,8,0,1,Tokyo,35.6895,139.69171,japan,6.891666666666667,10.879166666666668,41.166666666666664,31.1875,,,,,0.0,0.0,9.843055555555555,9.987777777777778,10.0525,16.181944444444444,15.927083333333334,15.928645833333334,39.166666666666664,35.52638888888889,33.96145833333333,47.43472222222223,59.01347222222222,63.6634375,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-09,2022,8,9,0,1,Tokyo,35.6895,139.69171,japan,5.904166666666666,9.754166666666666,34.541666666666664,24.95,,,,,0.0,0.0,7.8625,9.264027777777777,9.591574074074073,12.773611111111114,14.897222222222224,15.242592592592594,40.138888888888886,36.40555555555555,34.025925925925925,35.75138888888889,50.236250000000005,59.36194444444444,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
2022-08-10,2022,8,10,0,1,Tokyo,35.6895,139.69171,japan,5.520833333333333,9.416666666666666,31.625,22.325,,,,,0.0,0.0,6.105555555555555,8.47638888888889,9.1845,10.016666666666667,13.811111111111112,14.66,35.77777777777777,36.79861111111111,33.785833333333336,26.15416666666667,41.02152777777778,55.658249999999995,0.0,1.0,-0.4999999999999998,-0.8660254037844388,2
